year,month,weather,cost
2011,august ,bad,2010
2011,september,bad,810
2011,october ,bad,410
2011,november,bad,810
2011,december,bad,410
2011,january,good,210
2011,january,bad,310
2011,january,good,110
2011,february,good,210
2011,february,bad,410
2011,february,good,210
2011,february,bad,510
2011,january,bad,210
2011,march,good,310
2011,march,good,310
2011,march,bad,810
2011,march,bad,910
2011,april ,bad,6210
2011,april ,bad,6410
2011,april ,good,2810
2011,april ,good,2610
2011,may,bad,2210
2011,may,bad,2410
2011,may,good,810
2011,may,good,610
2011,june ,bad,1010
2011,june ,bad,1010
2011,june ,good,510
2011,june ,good,610
2011,july ,bad,410
2011,july ,bad,510
2011,july ,good,310
2011,july ,good,210
2011,august ,bad,2210
2011,august ,bad,2210
2011,august ,good,1010
2011,august ,good,910
2011,september,good,310
2011,september,good,410
2011,september,bad,910
2011,september,bad,1010
2011,october ,good,110
2011,october ,good,210
2011,october ,bad,410
2011,october ,bad,510
2011,november,bad,910
2011,november,bad,1010
2011,november,good,310
2011,november,good,410
2011,december,bad,410
2011,december,bad,510
2011,december,good,110
2011,december,good,210
2011,january,good,110
2011,january,good,110
2011,january,bad,410
2011,january,bad,410
2011,february,bad,610
2011,february,bad,710
2011,february,good,110
2011,february,good,110
2011,march,good,210
2011,march,good,110
2011,march,bad,1010
2011,march,bad,1010
2011,april ,bad,6410
2011,april ,bad,6410
2011,april ,good,2010
2011,april ,good,1010
2011,may,bad,3010
2011,may,bad,2810
2011,may,good,810
2011,may,good,910
2011,june ,bad,1010
2011,june ,bad,1610
2011,june ,good,310
2011,june ,good,210
2011,july ,bad,810
2011,july ,bad,1010
2011,july ,good,110
2011,july ,good,110
2011,august ,bad,2610
2011,august ,bad,3010
2011,august ,good,510
2011,august ,good,310
2011,september,good,210
2011,september,good,210
2011,september,bad,1010
2011,september,bad,1010
2011,october ,good,210
2011,october ,good,110
2011,october ,bad,810
2011,october ,bad,710
2011,november,bad,1010
2011,november,bad,1610
2011,november,good,210
2011,november,good,110
2011,december,bad,610
2011,december,bad,810
2011,december,good,210
2011,december,good,110
2011,january,good,110
2011,february,bad,510
2011,march,good,410
2011,april ,bad,5610
2011,may,good,910
2011,june ,bad,1010
2011,july ,good,210
2011,august ,bad,2210
2011,september,good,410
2011,october ,bad,410
2011,november,good,310
2011,december,bad,410
2011,january,good,110
2011,january,good,110
2011,january,good,110
2011,january,good,210
2011,january,good,210
2011,january,good,210
2011,february,good,210
2011,february,good,210
2011,february,good,210
2011,february,good,310
2011,february,good,310
2011,february,good,310
2011,march,good,410
2011,march,good,410
2011,march,good,410
2011,march,good,410
2011,march,good,510
2011,march,good,510
2011,april ,good,3010
2011,april ,good,3210
2011,april ,good,3010
2011,april ,good,3050
2011,april ,good,2810
2011,april ,good,2810
2011,may,good,1010
2011,may,good,1010
2011,may,good,1010
2011,may,good,810
2011,may,good,910
2011,may,good,810
2011,june ,good,510
2011,june ,good,510
2011,june ,good,510
2011,june ,good,410
2011,june ,good,410
2011,june ,good,410
2011,july ,good,210
2011,july ,good,210
2011,july ,good,210
2011,july ,good,210
2011,july ,good,210
2011,july ,good,110
2011,august ,good,1010
2011,august ,good,1010
2011,august ,good,910
2011,august ,good,910
2011,august ,good,810
2011,august ,good,810
2011,september,good,410
2011,september,good,410
2011,september,good,410
2011,september,good,410
2011,september,good,310
2011,september,good,310
2011,october ,good,210
2011,october ,good,210
2011,october ,good,210
2011,october ,good,210
2011,october ,good,210
2011,october ,good,110
2011,november,good,410
2011,november,good,410
2011,november,good,410
2011,november,good,410
2011,november,good,310
2011,november,good,310
2011,december,good,210
2011,december,good,210
2011,december,good,210
2011,december,good,110
2011,december,good,110
2011,december,good,110
2011,january,bad,210
2011,january,bad,210
2011,january,bad,210
2011,january,bad,210
2011,january,bad,310
2011,january,bad,310
2011,february,bad,410
2011,february,bad,410
2011,february,bad,410
2011,february,bad,410
2011,february,bad,510
2011,february,bad,510
2011,march,bad,810
2011,march,bad,810
2011,march,bad,810
2011,march,bad,910
2011,march,bad,910
2011,march,bad,910
2011,april ,bad,6210
2011,april ,bad,5810
2011,april ,bad,6210
2011,april ,bad,6210
2011,april ,bad,6410
2011,april ,bad,6610
2011,may,bad,2010
2011,may,bad,2010
2011,may,bad,2210
2011,may,bad,2210
2011,may,bad,1810
2011,may,bad,2010
2011,june ,bad,1010
2011,june ,bad,1210
2011,june ,bad,1010
2011,june ,bad,1210
2011,june ,bad,1410
2011,june ,bad,1210
2011,july ,bad,410
2011,july ,bad,410
2011,july ,bad,510
2011,july ,bad,510
2011,july ,bad,410
2011,july ,bad,510
2011,august ,bad,2010
2011,august ,bad,2010
2011,august ,bad,2210
2011,august ,bad,1810
2011,august ,bad,2210
2011,august ,bad,1810
2011,september,bad,810
2011,september,bad,810
2011,september,bad,910
2011,september,bad,1010
2011,september,bad,910
2011,september,bad,1010
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,510
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,december,bad,410
2011,december,bad,410
2011,december,bad,410
2011,december,bad,510
2011,december,bad,510
2011,december,bad,510
2011,january,good,110
2011,february,good,210
2011,march,good,410
2011,april ,good,3010
2011,may,good,1010
2011,june ,good,510
2011,july ,good,210
2011,august ,good,1010
2011,september,good,410
2011,october ,good,210
2011,november,good,410
2011,december,good,210
2011,january,bad,210
2011,february,bad,410
2011,march,bad,810
2011,april ,bad,6010
2011,may,bad,2010
2011,june ,bad,1010
2011,july ,bad,410
2011,august ,bad,2010
2011,september,bad,810
2011,october ,bad,410
2011,november,bad,810
2011,december,bad,410
2011,january,good,210
2011,january,bad,310
2011,january,good,110
2011,february,good,110
2011,february,bad,410
2011,february,good,210
2011,february,bad,510
2011,january,bad,210
2011,march,good,310
2011,march,good,310
2011,march,bad,810
2011,march,bad,910
2011,april ,bad,6210
2011,april ,bad,6410
2011,april ,good,2810
2011,april ,good,2610
2011,may,bad,2210
2011,may,bad,2410
2011,may,good,810
2011,may,good,610
2011,june ,bad,1010
2011,june ,bad,1010
2011,june ,good,560
2011,june ,good,610
2011,july ,bad,410
2011,july ,bad,510
2011,july ,good,310
2011,july ,good,210
2011,august ,bad,2010
2011,august ,bad,2210
2011,august ,good,1210
2011,august ,good,910
2011,september,good,310
2011,september,good,410
2011,september,bad,910
2011,september,bad,1010
2011,october ,good,110
2011,october ,good,210
2011,october ,bad,410
2011,october ,bad,510
2011,november,bad,910
2011,november,bad,1010
2011,november,good,310
2011,november,good,410
2011,december,bad,410
2011,december,bad,510
2011,december,good,110
2011,december,good,210
2011,january,good,110
2011,january,good,110
2011,january,bad,410
2011,january,bad,410
2011,february,bad,610
2011,february,bad,710
2011,february,good,110
2011,february,good,110
2011,march,good,210
2011,march,good,110
2011,march,bad,1010
2011,march,bad,1010
2011,april ,bad,6410
2011,april ,bad,7010
2011,april ,good,2010
2011,april ,good,1010
2011,may,bad,3010
2011,may,bad,2810
2011,may,good,810
2011,may,good,910
2011,june ,bad,1410
2011,june ,bad,1610
2011,june ,good,310
2011,june ,good,210
2011,july ,bad,810
2011,july ,bad,1010
2011,july ,good,110
2011,july ,good,110
2011,august ,bad,2410
2011,august ,bad,3010
2011,august ,good,510
2011,august ,good,310
2011,september,good,210
2011,september,good,210
2011,september,bad,1010
2011,september,bad,1210
2011,october ,good,210
2011,october ,good,110
2011,october ,bad,810
2011,october ,bad,710
2011,november,bad,1010
2011,november,bad,1610
2011,november,good,210
2011,november,good,210
2011,december,bad,610
2011,december,bad,810
2011,december,good,110
2011,december,good,110
2011,january,good,110
2011,february,bad,510
2011,march,good,410
2011,april ,bad,5610
2011,may,good,910
2011,june ,bad,1010
2011,july ,good,210
2011,august ,bad,2010
2011,september,good,410
2011,october ,bad,410
2011,november,good,310
2011,december,bad,410
2011,january,good,110
2011,january,good,110
2011,january,good,110
2011,january,good,210
2011,january,good,210
2011,january,good,210
2011,february,good,210
2011,february,good,210
2011,february,good,210
2011,february,good,310
2011,february,good,310
2011,february,good,310
2011,march,good,410
2011,march,good,410
2011,march,good,410
2011,march,good,410
2011,march,good,510
2011,march,good,510
2011,april ,good,3010
2011,april ,good,3210
2011,april ,good,3010
2011,april ,good,3050
2011,april ,good,3010
2011,april ,good,2810
2011,may,good,1010
2011,may,good,1010
2011,may,good,1010
2011,may,good,810
2011,may,good,910
2011,may,good,810
2011,june ,good,510
2011,june ,good,510
2011,june ,good,510
2011,june ,good,410
2011,june ,good,410
2011,june ,good,410
2011,july ,good,210
2011,july ,good,210
2011,july ,good,210
2011,july ,good,210
2011,july ,good,210
2011,july ,good,110
2011,august ,good,1010
2011,august ,good,1010
2011,august ,good,910
2011,august ,good,910
2011,august ,good,810
2011,august ,good,810
2011,september,good,410
2011,september,good,410
2011,september,good,410
2011,september,good,410
2011,september,good,310
2011,september,good,310
2011,october ,good,210
2011,october ,good,210
2011,october ,good,210
2011,october ,good,210
2011,october ,good,210
2011,october ,good,110
2011,november,good,410
2011,november,good,410
2011,november,good,410
2011,november,good,410
2011,november,good,310
2011,november,good,310
2011,december,good,210
2011,december,good,210
2011,december,good,210
2011,december,good,110
2011,december,good,110
2011,december,good,110
2011,january,bad,210
2011,january,bad,210
2011,january,bad,210
2011,january,bad,210
2011,january,bad,310
2011,january,bad,310
2011,february,bad,410
2011,february,bad,410
2011,february,bad,410
2011,february,bad,410
2011,february,bad,510
2011,february,bad,510
2011,march,bad,810
2011,march,bad,810
2011,march,bad,810
2011,march,bad,910
2011,march,bad,910
2011,march,bad,910
2011,april ,bad,6210
2011,april ,bad,5810
2011,april ,bad,6210
2011,april ,bad,6310
2011,april ,bad,6310
2011,april ,bad,6510
2011,may,bad,2010
2011,may,bad,2210
2011,may,bad,2210
2011,may,bad,2210
2011,may,bad,1910
2011,may,bad,2010
2011,june ,bad,1010
2011,june ,bad,1210
2011,june ,bad,1010
2011,june ,bad,1210
2011,june ,bad,1010
2011,june ,bad,1210
2011,july ,bad,410
2011,july ,bad,410
2011,july ,bad,510
2011,july ,bad,510
2011,july ,bad,410
2011,july ,bad,510
2011,august ,bad,2010
2011,august ,bad,2010
2011,august ,bad,2210
2011,august ,bad,1910
2011,august ,bad,2210
2011,august ,bad,1810
2011,september,bad,810
2011,september,bad,810
2011,september,bad,910
2011,september,bad,1010
2011,september,bad,910
2011,september,bad,1010
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,410
2011,october ,bad,510
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,november,bad,810
2011,december,bad,410
2011,december,bad,410
2011,december,bad,410
2011,december,bad,510
2011,december,bad,510
2011,december,bad,510
2011,january,bad,210
2011,february,bad,410
2011,march,bad,810
2011,april ,bad,6010
2011,may,bad,2010
2011,june ,bad,1010
2011,july ,bad,410
2011,august ,bad,2010
2011,september,bad,810
2011,october ,bad,410
2011,november,bad,810
2011,december,bad,410
2011,january,good,110
2011,april ,bad,7010
2011,april ,bad,7010
2011,december,bad,560
2011,april ,bad,5810
2011,april ,bad,6210
2011,april ,bad,6310
2011,april ,bad,6510
2011,april ,bad,6610
2011,april ,bad,6610
2011,august ,good,1610
2011,june ,bad,2210
2011,april ,bad,6610
2012,january,good,90
2012,february,good,190
2012,march,good,390
2012,april ,good,2990
2012,may,good,990
2012,june ,good,490
2012,july ,good,190
2012,august ,good,990
2012,september,good,390
2012,october ,good,190
2012,november,good,390
2012,december,good,190
2012,january,bad,190
2012,february,bad,390
2012,march,bad,790
2012,april ,bad,5990
2012,may,bad,1990
2012,june ,bad,990
2012,july ,bad,390
2012,august ,bad,1990
2012,september,bad,790
2012,october ,bad,390
2012,november,bad,790
2012,december,bad,390
2012,january,good,190
2012,january,bad,290
2012,january,good,90
2012,february,good,190
2012,february,bad,390
2012,february,good,190
2012,february,bad,490
2012,january,bad,190
2012,march,good,290
2012,march,good,290
2012,march,bad,790
2012,march,bad,890
2012,april ,bad,6190
2012,april ,bad,6390
2012,april ,good,2790
2012,april ,good,2590
2012,may,bad,2190
2012,may,bad,2390
2012,may,good,790
2012,may,good,590
2012,june ,bad,990
2012,june ,bad,990
2012,june ,good,490
2012,june ,good,590
2012,july ,bad,390
2012,july ,bad,490
2012,july ,good,290
2012,july ,good,190
2012,august ,bad,2190
2012,august ,bad,2190
2012,august ,good,990
2012,august ,good,890
2012,september,good,290
2012,september,good,390
2012,september,bad,890
2012,september,bad,990
2012,october ,good,90
2012,october ,good,190
2012,october ,bad,390
2012,october ,bad,490
2012,november,bad,890
2012,november,bad,990
2012,november,good,290
2012,november,good,390
2012,december,bad,390
2012,december,bad,490
2012,december,good,90
2012,december,good,190
2012,january,good,90
2012,january,good,90
2012,january,bad,390
2012,january,bad,390
2012,february,bad,590
2012,february,bad,690
2012,february,good,90
2012,february,good,90
2012,march,good,190
2012,march,good,90
2012,march,bad,990
2012,march,bad,990
2012,april ,bad,6390
2012,april ,bad,6390
2012,april ,good,1990
2012,april ,good,990
2012,may,bad,2990
2012,may,bad,2790
2012,may,good,790
2012,may,good,890
2012,june ,bad,990
2012,june ,bad,1590
2012,june ,good,290
2012,june ,good,190
2012,july ,bad,790
2012,july ,bad,990
2012,july ,good,90
2012,july ,good,90
2012,august ,bad,2590
2012,august ,bad,2990
2012,august ,good,490
2012,august ,good,290
2012,september,good,190
2012,september,good,190
2012,september,bad,990
2012,september,bad,990
2012,october ,good,190
2012,october ,good,90
2012,october ,bad,790
2012,october ,bad,690
2012,november,bad,990
2012,november,bad,1590
2012,november,good,190
2012,november,good,90
2012,december,bad,590
2012,december,bad,790
2012,december,good,190
2012,december,good,90
2012,january,good,90
2012,february,bad,490
2012,march,good,390
2012,april ,bad,5590
2012,may,good,890
2012,june ,bad,990
2012,july ,good,190
2012,august ,bad,2190
2012,september,good,390
2012,october ,bad,390
2012,november,good,290
2012,december,bad,390
2012,january,good,90
2012,january,good,90
2012,january,good,90
2012,january,good,190
2012,january,good,190
2012,january,good,190
2012,february,good,190
2012,february,good,190
2012,february,good,190
2012,february,good,290
2012,february,good,290
2012,february,good,290
2012,march,good,390
2012,march,good,390
2012,march,good,390
2012,march,good,390
2012,march,good,490
2012,march,good,490
2012,april ,good,2990
2012,april ,good,3190
2012,april ,good,2990
2012,april ,good,3390
2012,april ,good,2790
2012,april ,good,2790
2012,may,good,990
2012,may,good,990
2012,may,good,990
2012,may,good,790
2012,may,good,890
2012,may,good,790
2012,june ,good,490
2012,june ,good,490
2012,june ,good,490
2012,june ,good,390
2012,june ,good,390
2012,june ,good,390
2012,july ,good,190
2012,july ,good,190
2012,july ,good,190
2012,july ,good,190
2012,july ,good,190
2012,july ,good,90
2012,august ,good,990
2012,august ,good,990
2012,august ,good,890
2012,august ,good,890
2012,august ,good,790
2012,august ,good,790
2012,september,good,390
2012,september,good,390
2012,september,good,390
2012,september,good,390
2012,september,good,290
2012,september,good,290
2012,october ,good,190
2012,october ,good,190
2012,october ,good,190
2012,october ,good,190
2012,october ,good,190
2012,october ,good,90
2012,november,good,390
2012,november,good,390
2012,november,good,390
2012,november,good,390
2012,november,good,290
2012,november,good,290
2012,december,good,190
2012,december,good,190
2012,december,good,190
2012,december,good,90
2012,december,good,90
2012,december,good,90
2012,january,bad,190
2012,january,bad,190
2012,january,bad,190
2012,january,bad,190
2012,january,bad,290
2012,january,bad,290
2012,february,bad,390
2012,february,bad,390
2012,february,bad,390
2012,february,bad,390
2012,february,bad,490
2012,february,bad,490
2012,march,bad,790
2012,march,bad,790
2012,march,bad,790
